link_id,start_node_id,end_node_id,type,length,maxmph,lanes,capacity,fft,start_osmid,end_osmid,geometry
290,153,112,residential,134.5233053367236,20.0,1,1900,15.046028131996527,52980624,53148317,"LINESTRING (-122.2583237 37.87532749999999, -122.2583372 37.87538709999998, -122.2584599 37.87599199999998, -122.2585033 37.87620579999999, -122.2585161 37.87626920000001)"
291,8,228,residential,184.85534559017893,20.0,1,1900,20.675515838224744,53057620,53047410_m,"LINESTRING (-122.264392 37.89656429999999, -122.264332 37.8964942, -122.2642474 37.89642750000002, -122.2639665 37.89621789999999, -122.26320706045 37.89564891281574)"
292,183,221,residential,160.65391746964474,20.0,1,1900,17.968658707227355,53048225_m,53063935_m,"LINESTRING (-122.265886 37.89430610000001, -122.2661496 37.89425479999999, -122.2661549 37.89435639999999, -122.2662072 37.89449609999999, -122.2662783 37.89460189999998, -122.2664097 37.89473, -122.2668466652469 37.89491790718712)"
293,183,35,residential,462.18226389285053,20.0,1,1900,51.693699669623655,53048225_m,53063939,"LINESTRING (-122.265886 37.89430610000001, -122.266218 37.89396369999998, -122.2663105 37.89350129999999, -122.2663467 37.89329909999999, -122.2663413 37.89311709999998, -122.2662971 37.89293929999999, -122.2662115 37.8927132, -122.2660832 37.89247919999998, -122.2660545 37.8924205, -122.2660111 37.89232029999998, -122.265992 37.89221629999999, -122.2659846 37.89212389999998, -122.2660154 37.89178029999999, -122.2659888 37.8916411, -122.2659165 37.89151529999997, -122.2659065 37.89136859999998, -122.2659269 37.89126879999998, -122.2659656 37.89119379999999)"
294,147,90,residential,239.30420148275743,20.0,1,1900,26.76545702324197,53056365,53061195,"LINESTRING (-122.2711425 37.89094239999998, -122.271186 37.89099090000001, -122.271232 37.89104220000001, -122.2712739 37.8911379, -122.2713441 37.8916851, -122.271392 37.89178009999998, -122.2715088 37.89185040000001, -122.2716801 37.89187570000001, -122.2722826 37.8918529, -122.2723981 37.8918485)"
295,6,211,residential,118.1496795020933,20.0,1,1900,13.214687203270632,53035083,53063951_m,"LINESTRING (-122.2617835 37.89002989999999, -122.2615424 37.89010040000001, -122.2613862 37.89015929999999, -122.2611614 37.89026449999999, -122.2611291 37.89027960000001, -122.26079855 37.89025324999999)"
296,139,138,residential,119.00780705773693,20.0,1,1900,13.310666195986704,53038912,53038910,"LINESTRING (-122.252864 37.89250269999998, -122.2529147 37.89258659999999, -122.2530833 37.89273729999998, -122.2532868 37.892947, -122.2533344 37.89301469999999, -122.253378 37.8931024, -122.2534216 37.893211)"
297,143,24,residential,522.9093008724893,20.0,1,1900,58.485836574685315,53123929,53082312,"LINESTRING (-122.2524391 37.88565029999999, -122.2525876 37.88585240000001, -122.2527007 37.88600719999999, -122.2527667 37.88607899999999, -122.2528758 37.88619769999999, -122.2529368 37.886312, -122.2530471 37.8865583, -122.2530967 37.88676519999999, -122.2531197 37.8870744, -122.2531125 37.88720729999999, -122.2530633 37.8873513, -122.2529799 37.88747399999998, -122.252854 37.8875577, -122.2527349 37.88758179999999, -122.25263 37.887573, -122.2525385 37.88752419999999, -122.2524802 37.8874635, -122.252408 37.88731049999999, -122.2523275 37.88705609999998, -122.2522398 37.88683189999999, -122.2521566 37.8866981, -122.2520197 37.8865108, -122.2519459 37.88644059999999, -122.2518734 37.8863841, -122.2518091 37.88634829999999)"
298,8,7,residential,180.59713479669765,20.0,1,1900,20.199247735606242,53057620,53057618,"LINESTRING (-122.264392 37.89656429999999, -122.2644272 37.89665980000001, -122.2644366 37.8967357, -122.264412 37.896922, -122.264413 37.89698330000001, -122.2644253 37.89706439999999, -122.2644683 37.8971728, -122.2645455 37.89726760000001, -122.2646485 37.89736920000001, -122.2647429 37.8974437, -122.2648202 37.89754529999998, -122.2649232 37.8977214)"
299,7,196,residential,241.24544062572767,20.0,1,1900,26.982578797665763,53057618,53111406_m,"LINESTRING (-122.2649232 37.8977214, -122.2649747 37.89771459999999, -122.2650262 37.89773490000001, -122.2653523 37.8979043, -122.2654255 37.89792880000002, -122.2654982 37.89793140000001, -122.2655755 37.8979246, -122.2656441 37.8979043, -122.2662535 37.89757239999999, -122.2663222 37.89753850000001, -122.2663909 37.89751819999998, -122.2665539 37.89748429999999, -122.2666741 37.8974573, -122.2666056930942 37.89732999401677)"
300,12,16,residential,121.57961670062929,20.0,1,1900,13.598315389115283,53062745,53130350,"LINESTRING (-122.2567182 37.89062009999999, -122.2566308 37.89055599999999, -122.2565872 37.89050050000001, -122.2565771 37.89044179999999, -122.2565934 37.8903863, -122.2567692 37.89012170000001, -122.2567778 37.89004719999999, -122.2567448 37.88998539999999, -122.2566984 37.8899611, -122.2565712 37.88994499999999)"
301,174,50,residential,148.09522982291384,20.0,1,1900,16.564007170003446,53075820_m,53100957,"LINESTRING (-122.2705424826478 37.90173007846012, -122.2703339 37.9015096, -122.2703444 37.90149639999998, -122.2704246 37.90146269999999, -122.2706707 37.9013821, -122.2708071 37.90133749999999, -122.27123 37.90120089999999)"
